6.875555555555551,6.650277008310253,2.592285318559556,1.3196805555555569,7.34,7.17,3.1,14.5
7.53,6.31,4.3,18.0,7.55,3.34,5.5,20.6
7.72,4.84,5.3,19.2,6.875555555555551,6.650277008310253,2.592285318559556,1.3196805555555569
7.64,4.63,6.7,21.4,7.53,6.31,4.3,18.0
8.45,3.89,8.4,24.1,7.72,4.84,5.3,19.2
8.33,0.88,9.0,24.2,7.64,4.63,6.7,21.4
7.43,2.52,7.8,20.2,8.45,3.89,8.4,24.1
6.36,6.03,3.0,5.13,8.33,0.88,9.0,24.2
6.22,5.83,1.5,2.09,7.43,2.52,7.8,20.2
6.74,4.31,2.8,3.75,6.36,6.03,3.0,5.13
6.88,4.7,2.4,3.23,6.22,5.83,1.5,2.09
6.93,6.29,1.4,1.21,6.74,4.31,2.8,3.75
7.27,6.09,1.4,1.05,6.88,4.7,2.4,3.23
7.04,7.51,1.4,0.92,6.93,6.29,1.4,1.21
6.85,5.17,1.9,0.73,7.27,6.09,1.4,1.05
6.77,5.12,1.0,0.64,7.04,7.51,1.4,0.92
6.87,5.19,0.93,1.62,6.85,5.17,1.9,0.73
6.6,5.55,0.5,1.47,6.77,5.12,1.0,0.64
6.64,5.55,0.6,1.48,6.87,5.19,0.93,1.62
7.11,5.36,0.5,1.3,6.6,5.55,0.5,1.47
7.08,5.49,1.1,1.31,6.64,5.55,0.6,1.48
7.13,5.65,0.5,0.92,7.11,5.36,0.5,1.3
7.03,4.6,0.4,2.09,7.08,5.49,1.1,1.31
6.84,5.06,0.8,2.53,7.13,5.65,0.5,0.92
6.68,5.54,0.4,1.19,7.03,4.6,0.4,2.09
6.875555555555551,6.650277008310253,2.592285318559556,1.3196805555555569,6.84,5.06,0.8,2.53
6.875555555555551,6.650277008310253,2.592285318559556,1.3196805555555569,6.68,5.54,0.4,1.19
6.875555555555551,6.650277008310253,2.592285318559556,1.3196805555555569,6.875555555555551,6.650277008310253,2.592285318559556,1.3196805555555569
6.72,4.59,0.8,1.0,6.875555555555551,6.650277008310253,2.592285318559556,1.3196805555555569
6.71,4.01,1.6,1.32,6.875555555555551,6.650277008310253,2.592285318559556,1.3196805555555569
7.68,4.75,1.3,0.64,6.72,4.59,0.8,1.0
6.99,5.56,1.8,1.15,6.71,4.01,1.6,1.32
6.67,4.88,2.7,1.62,7.68,4.75,1.3,0.64
6.65,4.97,3.4,0.63,6.99,5.56,1.8,1.15
6.54,5.64,1.7,0.8,6.67,4.88,2.7,1.62
6.66,5.39,2.4,1.17,6.65,4.97,3.4,0.63
