7.79,12.5,5.3,1.56,7.37,10.9,4.6,1.1,7.66,10.5,4.8,1.9,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.86,12.8,5.3,2.08
7.75,12.0,6.1,1.69,7.66,10.5,4.8,1.9,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.86,12.8,5.3,2.08,7.9,11.3,5.2,1.64
7.69,12.2,6.1,1.82,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.86,12.8,5.3,2.08,7.9,11.3,5.2,1.64,7.79,12.5,5.3,1.56
7.72,12.2,6.2,1.85,7.86,12.8,5.3,2.08,7.9,11.3,5.2,1.64,7.79,12.5,5.3,1.56,7.75,12.0,6.1,1.69
7.7,12.6,6.2,1.73,7.9,11.3,5.2,1.64,7.79,12.5,5.3,1.56,7.75,12.0,6.1,1.69,7.69,12.2,6.1,1.82
7.68,12.4,5.7,1.65,7.79,12.5,5.3,1.56,7.75,12.0,6.1,1.69,7.69,12.2,6.1,1.82,7.72,12.2,6.2,1.85
7.5,10.6,5.7,1.53,7.75,12.0,6.1,1.69,7.69,12.2,6.1,1.82,7.72,12.2,6.2,1.85,7.7,12.6,6.2,1.73
7.51,10.3,5.6,1.53,7.69,12.2,6.1,1.82,7.72,12.2,6.2,1.85,7.7,12.6,6.2,1.73,7.68,12.4,5.7,1.65
7.84,10.2,5.8,3.03,7.72,12.2,6.2,1.85,7.7,12.6,6.2,1.73,7.68,12.4,5.7,1.65,7.5,10.6,5.7,1.53
7.84,10.0,6.3,2.69,7.7,12.6,6.2,1.73,7.68,12.4,5.7,1.65,7.5,10.6,5.7,1.53,7.51,10.3,5.6,1.53
7.89,9.34,6.3,3.53,7.68,12.4,5.7,1.65,7.5,10.6,5.7,1.53,7.51,10.3,5.6,1.53,7.84,10.2,5.8,3.03
7.56,8.09,6.2,2.07,7.5,10.6,5.7,1.53,7.51,10.3,5.6,1.53,7.84,10.2,5.8,3.03,7.84,10.0,6.3,2.69
7.8,8.75,5.8,0.92,7.51,10.3,5.6,1.53,7.84,10.2,5.8,3.03,7.84,10.0,6.3,2.69,7.89,9.34,6.3,3.53
7.87,8.62,5.8,0.84,7.84,10.2,5.8,3.03,7.84,10.0,6.3,2.69,7.89,9.34,6.3,3.53,7.56,8.09,6.2,2.07
7.84,7.8,5.3,1.07,7.84,10.0,6.3,2.69,7.89,9.34,6.3,3.53,7.56,8.09,6.2,2.07,7.8,8.75,5.8,0.92
7.75,7.47,5.4,1.25,7.89,9.34,6.3,3.53,7.56,8.09,6.2,2.07,7.8,8.75,5.8,0.92,7.87,8.62,5.8,0.84
7.77,7.65,5.5,1.24,7.56,8.09,6.2,2.07,7.8,8.75,5.8,0.92,7.87,8.62,5.8,0.84,7.84,7.8,5.3,1.07
7.84,8.13,5.4,0.92,7.8,8.75,5.8,0.92,7.87,8.62,5.8,0.84,7.84,7.8,5.3,1.07,7.75,7.47,5.4,1.25
7.66,6.98,5.3,2.83,7.87,8.62,5.8,0.84,7.84,7.8,5.3,1.07,7.75,7.47,5.4,1.25,7.77,7.65,5.5,1.24
7.45,6.82,5.1,1.04,7.84,7.8,5.3,1.07,7.75,7.47,5.4,1.25,7.77,7.65,5.5,1.24,7.84,8.13,5.4,0.92
7.3,6.28,5.2,0.95,7.75,7.47,5.4,1.25,7.77,7.65,5.5,1.24,7.84,8.13,5.4,0.92,7.66,6.98,5.3,2.83
7.35,7.21,4.5,0.42,7.77,7.65,5.5,1.24,7.84,8.13,5.4,0.92,7.66,6.98,5.3,2.83,7.45,6.82,5.1,1.04
7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.84,8.13,5.4,0.92,7.66,6.98,5.3,2.83,7.45,6.82,5.1,1.04,7.3,6.28,5.2,0.95
7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.66,6.98,5.3,2.83,7.45,6.82,5.1,1.04,7.3,6.28,5.2,0.95,7.35,7.21,4.5,0.42
7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.45,6.82,5.1,1.04,7.3,6.28,5.2,0.95,7.35,7.21,4.5,0.42,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777
7.09,6.87,4.8,0.31,7.3,6.28,5.2,0.95,7.35,7.21,4.5,0.42,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777
7.28,7.58,4.7,0.29,7.35,7.21,4.5,0.42,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777
7.67,7.5,4.6,0.31,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.09,6.87,4.8,0.31
7.59,7.37,4.6,0.39,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.09,6.87,4.8,0.31,7.28,7.58,4.7,0.29
7.52,7.36,4.6,0.48,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.09,6.87,4.8,0.31,7.28,7.58,4.7,0.29,7.67,7.5,4.6,0.31
7.48,7.61,4.6,0.46,7.09,6.87,4.8,0.31,7.28,7.58,4.7,0.29,7.67,7.5,4.6,0.31,7.59,7.37,4.6,0.39
7.49,7.2,4.9,0.54,7.28,7.58,4.7,0.29,7.67,7.5,4.6,0.31,7.59,7.37,4.6,0.39,7.52,7.36,4.6,0.48
7.44,6.86,4.9,0.6,7.67,7.5,4.6,0.31,7.59,7.37,4.6,0.39,7.52,7.36,4.6,0.48,7.48,7.61,4.6,0.46
7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.59,7.37,4.6,0.39,7.52,7.36,4.6,0.48,7.48,7.61,4.6,0.46,7.49,7.2,4.9,0.54
7.75,5.31,4.8,0.61,7.52,7.36,4.6,0.48,7.48,7.61,4.6,0.46,7.49,7.2,4.9,0.54,7.44,6.86,4.9,0.6
7.78,7.85,4.9,0.55,7.48,7.61,4.6,0.46,7.49,7.2,4.9,0.54,7.44,6.86,4.9,0.6,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777
7.8,7.68,5.2,0.69,7.49,7.2,4.9,0.54,7.44,6.86,4.9,0.6,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.75,5.31,4.8,0.61
7.67,8.69,5.4,0.7,7.44,6.86,4.9,0.6,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.75,5.31,4.8,0.61,7.78,7.85,4.9,0.55
7.48,8.91,5.4,0.71,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,7.75,5.31,4.8,0.61,7.78,7.85,4.9,0.55,7.8,7.68,5.2,0.69
7.33,8.9,5.5,0.88,7.75,5.31,4.8,0.61,7.78,7.85,4.9,0.55,7.8,7.68,5.2,0.69,7.67,8.69,5.4,0.7
6.99,9.44,5.6,0.88,7.78,7.85,4.9,0.55,7.8,7.68,5.2,0.69,7.67,8.69,5.4,0.7,7.48,8.91,5.4,0.71
7.17,8.76,5.7,0.83,7.8,7.68,5.2,0.69,7.67,8.69,5.4,0.7,7.48,8.91,5.4,0.71,7.33,8.9,5.5,0.88
7.63,8.7,5.6,0.83,7.67,8.69,5.4,0.7,7.48,8.91,5.4,0.71,7.33,8.9,5.5,0.88,6.99,9.44,5.6,0.88
7.69,9.36,5.8,1.19,7.48,8.91,5.4,0.71,7.33,8.9,5.5,0.88,6.99,9.44,5.6,0.88,7.17,8.76,5.7,0.83
7.79,9.93,4.9,1.38,7.33,8.9,5.5,0.88,6.99,9.44,5.6,0.88,7.17,8.76,5.7,0.83,7.63,8.7,5.6,0.83
7.78,10.5,5.0,1.32,6.99,9.44,5.6,0.88,7.17,8.76,5.7,0.83,7.63,8.7,5.6,0.83,7.69,9.36,5.8,1.19
8.06,9.27,4.8,0.64,7.17,8.76,5.7,0.83,7.63,8.7,5.6,0.83,7.69,9.36,5.8,1.19,7.79,9.93,4.9,1.38
8.11,9.3,4.7,0.46,7.63,8.7,5.6,0.83,7.69,9.36,5.8,1.19,7.79,9.93,4.9,1.38,7.78,10.5,5.0,1.32
8.11,9.6,4.1,0.61,7.69,9.36,5.8,1.19,7.79,9.93,4.9,1.38,7.78,10.5,5.0,1.32,8.06,9.27,4.8,0.64
8.04,9.81,4.3,0.98,7.79,9.93,4.9,1.38,7.78,10.5,5.0,1.32,8.06,9.27,4.8,0.64,8.11,9.3,4.7,0.46
7.97,9.16,4.3,0.64,7.78,10.5,5.0,1.32,8.06,9.27,4.8,0.64,8.11,9.3,4.7,0.46,8.11,9.6,4.1,0.61
8.25,7.94,5.5,1.29,8.06,9.27,4.8,0.64,8.11,9.3,4.7,0.46,8.11,9.6,4.1,0.61,8.04,9.81,4.3,0.98
8.32,8.03,4.2,1.07,8.11,9.3,4.7,0.46,8.11,9.6,4.1,0.61,8.04,9.81,4.3,0.98,7.97,9.16,4.3,0.64
7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,8.11,9.6,4.1,0.61,8.04,9.81,4.3,0.98,7.97,9.16,4.3,0.64,8.25,7.94,5.5,1.29
8.42,8.44,3.4,1.49,8.04,9.81,4.3,0.98,7.97,9.16,4.3,0.64,8.25,7.94,5.5,1.29,8.32,8.03,4.2,1.07
7.89,8.57,3.7,0.89,7.97,9.16,4.3,0.64,8.25,7.94,5.5,1.29,8.32,8.03,4.2,1.07,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777
7.94,8.06,3.8,1.41,8.25,7.94,5.5,1.29,8.32,8.03,4.2,1.07,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,8.42,8.44,3.4,1.49
8.05,7.75,3.3,1.57,8.32,8.03,4.2,1.07,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,8.42,8.44,3.4,1.49,7.89,8.57,3.7,0.89
8.05,7.87,5.4,1.34,7.783986111111114,7.617902777777773,4.323842917251055,0.6186527777777777,8.42,8.44,3.4,1.49,7.89,8.57,3.7,0.89,7.94,8.06,3.8,1.41
7.98,7.32,7.4,1.71,8.42,8.44,3.4,1.49,7.89,8.57,3.7,0.89,7.94,8.06,3.8,1.41,8.05,7.75,3.3,1.57
8.19,8.46,6.2,1.35,7.89,8.57,3.7,0.89,7.94,8.06,3.8,1.41,8.05,7.75,3.3,1.57,8.05,7.87,5.4,1.34
8.23,8.94,5.9,1.18,7.94,8.06,3.8,1.41,8.05,7.75,3.3,1.57,8.05,7.87,5.4,1.34,7.98,7.32,7.4,1.71
8.17,8.66,5.9,1.6,8.05,7.75,3.3,1.57,8.05,7.87,5.4,1.34,7.98,7.32,7.4,1.71,8.19,8.46,6.2,1.35
7.76,6.26,4.6,1.73,8.05,7.87,5.4,1.34,7.98,7.32,7.4,1.71,8.19,8.46,6.2,1.35,8.23,8.94,5.9,1.18
7.88,6.89,5.7,1.46,7.98,7.32,7.4,1.71,8.19,8.46,6.2,1.35,8.23,8.94,5.9,1.18,8.17,8.66,5.9,1.6
7.75,6.56,4.8,1.32,8.19,8.46,6.2,1.35,8.23,8.94,5.9,1.18,8.17,8.66,5.9,1.6,7.76,6.26,4.6,1.73
7.47,6.27,5.6,1.1,8.23,8.94,5.9,1.18,8.17,8.66,5.9,1.6,7.76,6.26,4.6,1.73,7.88,6.89,5.7,1.46
7.75,6.27,5.7,0.54,8.17,8.66,5.9,1.6,7.76,6.26,4.6,1.73,7.88,6.89,5.7,1.46,7.75,6.56,4.8,1.32
7.52,6.16,5.9,0.62,7.76,6.26,4.6,1.73,7.88,6.89,5.7,1.46,7.75,6.56,4.8,1.32,7.47,6.27,5.6,1.1
7.43,6.25,5.6,0.71,7.88,6.89,5.7,1.46,7.75,6.56,4.8,1.32,7.47,6.27,5.6,1.1,7.75,6.27,5.7,0.54
7.25,5.84,5.5,0.37,7.75,6.56,4.8,1.32,7.47,6.27,5.6,1.1,7.75,6.27,5.7,0.54,7.52,6.16,5.9,0.62
7.45,5.28,5.0,0.54,7.47,6.27,5.6,1.1,7.75,6.27,5.7,0.54,7.52,6.16,5.9,0.62,7.43,6.25,5.6,0.71
